[13.513 266] 10266;
[13.564 267] 10267;
[13.614 268] 10268;
[13.665 269] 10269;
[13.716 270] 10270;
[13.767 271] 10271;
[13.818 272] 10272;
[13.869 273] 10273;
[13.920 274] 10274;
[13.971 275] 10275;
[14.022 276] 10276;
[14.073 277] 10277;
[14.123 278] 10278;
[14.173 279] 10279;
[14.223 280] 10280;
[14.274 281] 10281;
[14.325 282] 10282;
[14.376 283] 10283;
[14.427 284] 10284;
[14.478 285] 10285;
[14.529 286] 10286;
[14.580 287] 10287;
[14.630 288] 10288;
[14.681 289] 10289;
[14.731 290] 10290;
[14.782 291] 10291;
[14.833 292] 10292;
[14.884 293] 10293;
[14.935 294] 10294;
[14.986 295] 10295;
[15.037 296] 10296;
[15.088 297] 10297;
[15.139 298] 10298;
[15.190 299] 10299;
[15.241 300] 10300;
[15.292 301] 10301;
[15.343 302] 10302;
[15.394 303] 10303;
[15.444 304] 10304;
[15.495 305] 10305;
[15.546 306] 10306;
[15.597 307] 10307;
[15.647 308] 10308;
[15.698 309] 10309;
[15.749 310] 10310;
[15.800 311] 10311;
[15.851 312] 10312;
[15.901 313] 10313;
[15.952 314] 10314;
[16.003 315] 10315;
[16.054 316] 10316;
[16.105 317] 10317;
[16.156 318] 10318;
[16.207 319] 10319;
[16.258 320] 10320;
[16.309 321] 10321;
[16.359 322] 10322;
[16.409 323] 10323;
[16.460 324] 10324;
[16.511 325] 10325;
[16.562 326] 10326;
[16.613 327] 10327;
[16.664 328] 10328;
[16.715 329] 10329;
[16.766 330] 10330;
[16.817 331] 10331;
[16.868 332] 10332;
[16.919 333] 10333;
[16.970 334] 10334;
[17.021 335] 10335;
[17.072 336] 10336;
[17.123 337] 10337;
[17.174 338] 10338;
[17.225 339] 10339;
[17.276 340] 10340;
[17.327 341] 10341;
[17.377 342] 10342;
[17.428 343] 10343;
[17.478 344] 10344;
[17.529 345] 10345;
[17.580 346] 10346;
[17.631 347] 10347;
[17.682 348] 10348;
[17.733 349] 10349;
[17.783 350] 10350;
[17.833 351] 10351;
[17.883 352] 10352;
[17.934 353] 10353;
[17.985 354] 10354;
[18.036 355] 10355;
[18.087 356] 10356;
[18.138 357] 10357;
[18.189 358] 10358;
[18.240 359] 10359;
[18.290 360] 10360;
[18.340 361] 10361;
[18.391 362] 10362;
[18.442 363] 10363;
[18.493 364] 10364;
[18.544 365] 10365;
[18.595 366] 10366;
[18.645 367] 10367;
[18.696 368] 10368;
[18.747 369] 10369;
[18.798 370] 10370;
[18.849 371] 10371;
[18.900 372] 10372;
[18.951 373] 10373;
[19.002 374] 10374;
[19.053 375] 10375;
[19.104 376] 10376;
[19.155 377] 10377;
[19.206 378] 10378;
[19.256 379] 10379;
[19.307 380] 10380;
[19.358 381] 10381;
[19.408 382] 10382;
[19.459 383] 10383;
[19.510 384] 10384;
[19.560 385] 10385;
[19.611 386] 10386;
[19.662 387] 10387;
[19.712 388] 10388;
[19.763 389] 10389;
[19.814 390] 10390;
[19.865 391] 10391;
[19.916 392] 10392;
[19.967 393] 10393;
[20.018 394] 10394;
[20.069 395] 10395;
[20.120 396] 10396;
[20.171 397] 10397;
[20.222 398] 10398;
[20.273 399] 10399;
